#{"t_start": 1786597425.619332, "env_id": "None"}
r,l,t
183.5,200,76.046636
201.75,200,76.139637
205.25,200,76.23064
188.75,200,76.318146
201.5,200,77.096661
185.0,200,77.192661
201.75,200,77.286173
183.75,200,77.376173
170.0,200,77.46462
182.5,200,77.555705
197.75,200,77.645785
203.75,200,77.73753
191.75,200,77.83336
186.75,200,77.929163
178.5,200,78.735898
191.0,200,78.840335
195.25,200,78.935851
190.75,200,79.029598
220.5,200,79.117328
180.25,200,79.206481
171.0,200,79.29674
196.5,200,79.383798
181.5,200,79.470359
185.25,200,79.562447
205.75,200,80.352098
159.5,200,80.459323
192.5,200,80.557894
217.75,200,80.651812
210.0,200,80.74382
170.5,200,80.83243
215.25,200,80.924738
200.25,200,81.011338
204.0,200,81.097614
172.25,200,81.185345
197.25,200,81.998755
187.0,200,82.107735
193.25,200,82.21222
74.5,91,82.252316
189.5,200,82.33901
181.0,200,82.431241
197.5,200,82.518982
204.75,200,82.632221
171.75,200,82.72452
198.5,200,82.811872
188.5,200,82.898439
206.75,200,83.691782
204.5,200,83.792939
193.0,200,83.893014
186.0,200,83.98232
179.75,200,84.071821
180.25,200,84.158472
201.25,200,84.250592
204.5,200,84.336784
204.0,200,84.427381
169.5,200,84.514142
61.5,77,84.547664
186.75,200,85.366227
196.25,200,85.466499
193.75,200,85.562697
190.75,200,85.649785
184.75,200,85.74166
198.25,200,85.827896
186.5,200,85.91861
178.75,200,86.00568
187.5,200,86.092401
178.5,200,86.179594
173.5,200,86.974144
172.0,200,87.073741
188.75,200,87.171808
201.25,200,87.26161
184.5,200,87.355099
204.25,200,87.440791
215.25,200,87.529032
172.5,200,87.615978
197.25,200,87.707592
179.75,200,87.793911
195.0,200,87.879096
196.25,200,88.67875
178.5,200,88.775882
184.5,200,88.86144
208.75,200,88.951004
182.0,200,89.040581
179.5,200,89.128493
195.25,200,89.219784
216.25,200,89.308372
192.5,200,89.395183
213.25,200,89.485499
209.25,200,90.266698
218.5,200,90.36707
113.5,104,90.4187
205.25,200,90.50544
175.75,200,90.593458
191.5,200,90.681784
188.25,200,90.768776
201.5,200,90.856012
196.0,200,90.943094
198.0,200,91.030528
191.0,200,91.117601
200.0,200,91.911341
191.5,200,92.011342
201.25,200,92.100863
182.0,200,92.193141
193.5,200,92.280622
174.5,200,92.367634
193.25,200,92.455014
202.25,200,92.54343
171.75,200,92.63049
182.25,200,92.716318
212.5,200,93.479285
195.75,200,93.577453
184.75,196,93.667634
175.25,200,93.753702
189.75,200,93.84241
207.0,200,93.928648
207.0,200,94.017394
203.25,200,94.135834
194.0,200,94.267537
199.5,200,94.402217
217.25,200,95.220763
188.0,200,95.321843
200.25,200,95.41391
200.0,200,95.504544
183.5,200,95.592186
171.75,200,95.678751
211.0,200,95.765514
191.5,200,95.853158
185.5,200,95.941816
195.25,200,96.029378
191.5,200,96.806077
179.25,200,96.906244
209.0,200,97.005817
188.5,200,97.092948
202.5,200,97.179705
193.75,200,97.268002
199.0,200,97.355544
205.0,200,97.44158
202.25,200,97.529141
186.75,200,97.615947
186.5,200,97.703011
212.5,200,98.45405
187.25,200,98.558982
186.75,200,98.647008
194.0,200,98.737515
195.25,200,98.825374
176.75,200,98.913439
163.0,200,99.000419
207.75,200,99.086274
191.75,200,99.172688
206.5,200,99.260343
180.0,200,100.034776
196.0,200,100.133866
176.0,200,100.227288
185.75,200,100.315615
187.75,200,100.403228
200.25,200,100.490328
181.25,200,100.576861
180.25,200,100.664681
204.25,200,100.749237
182.0,200,100.836779
209.25,200,101.620305
181.0,200,101.714876
180.75,200,101.798926
186.25,200,101.886777
207.75,200,101.974846
171.5,200,102.061261
195.0,200,102.148548
207.75,200,102.236397
196.75,200,102.327476
193.0,200,102.413812
208.25,200,103.202541
189.75,200,103.301769
209.75,200,103.402945
193.75,200,103.489543
200.75,200,103.578787
207.0,200,103.666369
187.75,200,103.752475
209.25,200,103.83853
155.75,200,103.925174
198.0,200,104.012742
170.0,200,104.808816
186.0,200,104.908937
202.5,200,105.007508
201.25,200,105.094683
189.75,200,105.18432
170.0,200,105.270461
198.0,200,105.361175
217.75,200,105.448367
217.25,200,105.534277
180.0,200,105.621899
212.0,200,105.708123
205.5,200,106.498508
194.25,200,106.597401
198.75,200,106.687711
187.0,200,106.775483
187.25,200,106.862654
187.5,200,106.948345
190.0,200,107.035168
193.25,200,107.121396
203.75,200,107.209548
182.0,200,107.296527
200.75,200,108.075213
185.75,200,108.174799
187.75,200,108.270391
176.25,200,108.357646
157.0,200,108.454379
195.5,200,108.54178
209.5,200,108.627074
217.75,200,108.713686
222.0,200,108.800721
190.0,200,108.887341
183.75,200,109.677199
190.75,200,109.776775
205.25,200,109.872383
172.75,200,109.959507
198.0,200,110.04833
190.0,200,110.134406
199.75,200,110.222035
182.0,200,110.307964
195.25,200,110.393527
189.0,200,110.481997
193.25,200,111.285009
195.5,200,111.38141
210.25,200,111.480985
173.75,200,111.569078
211.25,200,111.658768
206.5,200,111.745229
210.0,200,111.830601
193.5,200,111.917965
173.25,200,112.005523
197.5,200,112.092477
202.75,200,112.177646
198.75,200,113.002969
217.0,200,113.102046
196.0,200,113.192123
206.0,200,113.285009
182.5,200,113.372084
193.0,200,113.458229
188.75,200,113.545289
197.75,200,113.631017
209.5,200,113.717609
209.75,200,113.803087
224.75,200,114.542848
211.0,200,114.642934
201.25,200,114.735536
198.0,200,114.822158
201.25,200,114.911378
217.75,200,114.998127
190.0,200,115.084734
203.0,200,115.17239
179.5,200,115.259489
199.25,200,115.34605
185.0,200,116.134239
181.0,200,116.235008
201.0,200,116.331069
207.25,200,116.417698
193.0,200,116.505983
184.0,200,116.602862
205.0,200,116.689451
200.25,200,116.775802
234.75,200,116.862497
198.5,200,116.948968
199.75,200,117.733303
202.25,200,117.830369
184.25,200,117.928537
209.75,200,118.014513
182.0,200,118.104756
191.5,200,118.191485
169.5,200,118.278247
215.75,200,118.364834
174.0,200,118.450905
188.25,200,118.537975
201.75,200,118.629567
186.25,200,119.427724
207.75,200,119.5293
201.5,200,119.624532
200.75,200,119.715611
195.0,200,119.800425
200.25,200,119.888439
190.75,200,119.974859
189.0,200,120.061546
186.5,200,120.147761
183.0,200,120.234835
196.75,200,121.033908
174.0,200,121.132481
204.25,200,121.218422
194.25,200,121.306489
214.25,200,121.393145
187.5,200,121.480527
191.5,200,121.56846
210.0,200,121.659116
191.0,200,121.743623
202.75,200,121.831858
216.25,200,122.618937
189.5,200,122.715309
199.0,200,122.811965
175.0,200,122.899356
212.75,200,122.98828
206.25,200,123.075896
176.25,200,123.16155
207.75,200,123.248171
223.25,200,123.334902
184.75,200,123.42097
176.25,200,124.214722
200.75,200,124.315801
169.0,200,124.414378
173.5,200,124.500443
178.0,200,124.590295
192.25,200,124.676874
203.5,200,124.763585
197.0,200,124.849651
202.25,200,124.938006
196.5,200,125.023841
190.0,200,125.108894
152.25,200,125.86785
202.75,200,125.967627
183.5,200,126.056149
200.25,200,126.141793
